"symbol","interval","openTime","open","high","low","close","volume","closeTime","quoteAssetVolume","trades","baseAssetVolume"
"ETHBTC","15m",1527624900000,"0.07586600","0.07596500","0.07574600","0.07584900","1009.08100000",1527625799999,"46.33503183",1283,"610.55100000"
"ETHBTC","15m",1527625800000,"0.07584900","0.07625000","0.07584900","0.07606500","2104.23000000",1527626699999,"105.75186857",1464,"1391.12600000"
"ETHBTC","15m",1527626700000,"0.07612300","0.07612300","0.07580300","0.07594000","847.20900000",1527627599999,"42.80608990",1201,"563.20600000"
"ETHBTC","15m",1527627600000,"0.07594000","0.07595000","0.07532000","0.07555200","878.17200000",1527628499999,"28.10301874",1628,"371.13600000"
"ETHBTC","15m",1527628500000,"0.07555400","0.07580000","0.07550500","0.07571500","591.74100000",1527629399999,"24.11461372",1277,"318.60100000"
"ETHBTC","15m",1527629400000,"0.07566700","0.07593000","0.07562000","0.07593000","1280.20900000",1527630299999,"54.49594140",1319,"718.69900000"
"ETHBTC","15m",1527630300000,"0.07589100","0.07594900","0.07581100","0.07592900","711.79500000",1527631199999,"24.32879460",1047,"320.54600000"
"ETHBTC","15m",1527631200000,"0.07586700","0.07593500","0.07487400","0.07503100","1646.81400000",1527632099999,"51.10376476",2493,"676.35300000"
"ETHBTC","15m",1527632100000,"0.07503100","0.07540000","0.07494900","0.07540000","1290.05200000",1527632999999,"58.61570812",1686,"779.17500000"
"ETHBTC","15m",1527633000000,"0.07540000","0.07550000","0.07537500","0.07544800","834.17500000",1527633899999,"35.72471688",926,"473.38900000"
"ETHBTC","15m",1527633900000,"0.07549300","0.07554900","0.07525300","0.07535200","1135.65900000",1527634799999,"45.88902190",1546,"608.23100000"
"ETHBTC","15m",1527634800000,"0.07534900","0.07571600","0.07525500","0.07555900","819.55800000",1527635699999,"42.96007305",1500,"569.27900000"
"ETHBTC","15m",1527635700000,"0.07556000","0.07576700","0.07555500","0.07566400","416.10900000",1527636599999,"17.47397262",858,"231.03600000"
"ETHBTC","15m",1527636600000,"0.07562400","0.07575000","0.07550000","0.07569300","514.40900000",1527637499999,"19.32377720",998,"255.55300000"
"ETHBTC","15m",1527637500000,"0.07569400","0.07593900","0.07567200","0.07593500","647.20200000",1527638399999,"29.33101752",997,"387.20200000"
"ETHBTC","15m",1527638400000,"0.07587900","0.07599100","0.07568800","0.07586000","1535.68600000",1527639299999,"77.82624433",1180,"1026.29200000"
"ETHBTC","15m",1527639300000,"0.07588500","0.07599700","0.07578600","0.07599200","1114.47300000",1527640199999,"47.08283252",1196,"620.18100000"
"ETHBTC","15m",1527640200000,"0.07594700","0.07620000","0.07591800","0.07608200","1512.16200000",1527641099999,"88.86792122",1716,"1167.62800000"
"ETHBTC","15m",1527641100000,"0.07614500","0.07660000","0.07606500","0.07657200","1819.82600000",1527641999999,"85.78049726",2306,"1123.34200000"
"ETHBTC","15m",1527642000000,"0.07657000","0.07741400","0.07656000","0.07728000","2004.79400000",1527642899999,"103.48505581",2569,"1344.07100000"
"ETHBTC","15m",1527642900000,"0.07726200","0.07750000","0.07675000","0.07696100","2460.10200000",1527643799999,"86.64265961",3112,"1121.14500000"
"ETHBTC","15m",1527643800000,"0.07701500","0.07735000","0.07696500","0.07733600","1011.50200000",1527644699999,"37.91731696",1705,"491.60300000"
"ETHBTC","15m",1527644700000,"0.07733600","0.07743500","0.07700000","0.07719800","1295.99400000",1527645599999,"49.30763051",1965,"638.62700000"
"ETHBTC","15m",1527645600000,"0.07714300","0.07729200","0.07684100","0.07697600","1552.26000000",1527646499999,"71.99261809",2344,"934.04300000"
"ETHBTC","15m",1527646500000,"0.07697900","0.07700100","0.07680000","0.07699000","1244.87200000",1527647399999,"66.86148142",1439,"869.38900000"
"ETHBTC","15m",1527647400000,"0.07697600","0.07705800","0.07676500","0.07693000","2331.25500000",1527648299999,"147.07165558",1392,"1911.78500000"
"ETHBTC","15m",1527648300000,"0.07692400","0.07727000","0.07641900","0.07649100","2894.17700000",1527649199999,"115.27851059",2610,"1499.13900000"
"ETHBTC","15m",1527649200000,"0.07649100","0.07668000","0.07610000","0.07628300","1517.79600000",1527650099999,"66.15824272",1823,"865.36900000"
"ETHBTC","15m",1527650100000,"0.07628800","0.07638700","0.07542200","0.07582500","2125.56500000",1527650999999,"61.41049989",2805,"807.77100000"
"ETHBTC","15m",1527651000000,"0.07582500","0.07620100","0.07580700","0.07603200","987.91600000",1527651899999,"39.27504375",1596,"516.45700000"
"ETHBTC","15m",1527651900000,"0.07600800","0.07608400","0.07579600","0.07606700","1251.02400000",1527652799999,"47.20048619",1523,"621.64300000"
"ETHBTC","15m",1527652800000,"0.07601300","0.07638500","0.07596600","0.07635600","1160.33700000",1527653699999,"40.06302665",1263,"525.87100000"
"ETHBTC","15m",1527653700000,"0.07635600","0.07635700","0.07606400","0.07622800","1056.49000000",1527654599999,"56.33256676",1207,"738.66500000"
"ETHBTC","15m",1527654600000,"0.07624700","0.07629200","0.07594500","0.07624000","1262.38000000",1527655499999,"66.15464283",1276,"869.72300000"
"ETHBTC","15m",1527655500000,"0.07624100","0.07650000","0.07615200","0.07643200","1219.84500000",1527656399999,"40.22756680",1345,"526.63600000"
"ETHBTC","15m",1527656400000,"0.07639700","0.07647800","0.07608500","0.07633900","1052.65500000",1527657299999,"38.99206482",1327,"510.85200000"
"ETHBTC","15m",1527657300000,"0.07628000","0.07636800","0.07600200","0.07614500","1021.62900000",1527658199999,"43.90354088",1118,"576.52500000"
